Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Suspected,Recovered,Deaths,ConfnSusp
Hubei,Mainland China,1/25/2020  10pm,30.97564,112.2707,1052,,42,52,1052
Zhejiang,Mainland China,1/25/2020  10pm,29.18251,120.0985,104,,1,,104
Guangdong,Mainland China,1/25/2020  12pm,23.33841,113.422,98,,2,,98
Henan,Mainland China,1/25/2020  12pm,33.88202,113.614,83,3,,1,86
Chongqing,Mainland China,1/25/2020  12pm,30.05718,107.874,75,,,,75
Hunan,Mainland China,1/25/2020  12pm,27.61041,111.7088,69,,,,69
Anhui,Mainland China,1/25/2020  12pm,31.82571,117.2264,60,4,,,64
Beijing,Mainland China,1/25/2020  12pm,40.18238,116.4142,51,,2,,51
Sichuan,Mainland China,1/25/2020  12pm,30.61714,102.7103,44,4,,,48
Shanghai,Mainland China,1/25/2020  12pm,31.20327,121.4554,40,72,1,1,112
Shandong,Mainland China,1/25/2020  12pm,36.34377,118.1529,39,,,,39
Jiangxi,Mainland China,1/25/2020  12pm,27.61401,115.7221,36,,,,36
Guangxi,Mainland China,1/25/2020  12pm,23.82908,108.7881,33,,,,33
Jiangsu,Mainland China,1/25/2020  12pm,32.97027,119.464,31,,1,,31
Hainan,Mainland China,1/25/2020  12pm,19.19673,109.7455,19,,,,19
Liaoning,Mainland China,1/25/2020  12pm,41.29284,122.6086,19,,,,19
Fujian,Mainland China,1/25/2020  12pm,26.07783,117.9895,18,20,,1,38
Heilongjiang,Mainland China,1/25/2020  12pm,47.862,127.7622,15,,,,15
Shaanxi,Mainland China,1/25/2020  12pm,35.19165,108.8701,15,,,,15
Tianjin,Mainland China,1/25/2020  12pm,39.29362,117.333,13,,,,13
Hebei,Mainland China,1/25/2020  12pm,38.0428,114.5149,13,,,1,13
Yunnan,Mainland China,1/25/2020  12pm,24.97411,101.4868,11,58,,,69
Shanxi,Mainland China,1/25/2020  12pm,37.57769,112.2922,9,,,,9
Inner Mongolia,Mainland China,1/25/2020  12pm,44.09448,113.9456,7,,,,7
Gansu,Mainland China,1/25/2020  12pm,36.0611,103.8343,7,,,,7
Guizhou,Mainland China,1/25/2020  12pm,26.81536,106.8748,5,,,,5
Hong Kong,Hong Kong,1/25/2020  12pm,22.3193,114.1694,5,244,,,249
Ningxia,Mainland China,1/25/2020  12pm,37.26923,106.1655,4,1,,,5
Jilin,Mainland China,1/25/2020  12pm,43.66657,126.1917,4,,,,4
Xinjiang,Mainland China,1/25/2020  12pm,41.11981,85.17822,4,,,,4
Taiwan,Taiwan,1/25/2020  12pm,23.6978,120.9605,3,,,,3
Macau,Macau,1/25/2020  12pm,22.1987,113.5439,2,,,,2
Qinghai,Mainland China,1/25/2020  12pm,35.65945,96.02564,1,,,,1
Washington,US,1/25/2020  12pm,47.6062,-122.3321,1,,,,1
Illinois,US,1/25/2020  12pm,41.8781,-87.6298,1,,,,1
,Japan,1/25/2020  12pm,35.6762,139.6503,2,,,,2
,Thailand,1/25/2020  12pm,13.7563,100.5018,7,,,,7
,South Korea,1/25/2020  12pm,37.5665,126.978,3,,,,3
,Singapore ,1/25/2020  12pm,1.3521,103.8198,3,,,,3
,Vietnam,1/25/2020  12pm,21.0278,105.8342,2,,,,2
,France,1/25/2020  12pm,46.2276,2.2137,3,,,,3
,Australia,1/25/2020  12pm,-25.2744,133.7751,4,,,,4
,Nepal,1/25/2020  12pm,28.3949,84.124,1,,,,1
,Malaysia ,1/25/2020  12pm,4.2105,101.9758,3,,,,3
