Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Suspected,ConfnSusp,Recovered,Demised
Anhui,Mainland China,1/22/2020 12:00,31.82571,117.2264,1,4,5,,
Beijing,Mainland China,1/22/2020 12:00,40.18238,116.4142,14,,14,,
Chongqing,Mainland China,1/22/2020 12:00,30.05718,107.874,6,,6,,
Fujian,Mainland China,1/22/2020 12:00,26.07783,117.9895,1,,1,,
Gansu,Mainland China,1/22/2020 12:00,37.90289,100.5863,,,0,,
Guangdong,Mainland China,1/22/2020 12:00,23.33841,113.422,26,1,27,,
Guangxi,Mainland China,1/22/2020 12:00,23.82908,108.7881,2,1,3,,
Guizhou,Mainland China,1/22/2020 12:00,26.81536,106.8748,1,,1,,
Hainan,Mainland China,1/22/2020 12:00,19.19673,109.7455,4,,4,,
Hebei,Mainland China,1/22/2020 12:00,39.547,116.1375,1,,1,,
Heilongjiang,Mainland China,1/22/2020 12:00,47.862,127.7622,,1,1,,
Henan,Mainland China,1/22/2020 12:00,33.88202,113.614,5,,5,,
Hong Kong,Hong Kong,1/22/2020 12:00,22.3193,114.1694,,117,117,,
Hubei,Mainland China,1/22/2020 12:00,30.97564,112.2707,444,,444,28,17
Hunan,Mainland China,1/22/2020 12:00,27.61041,111.7088,4,,4,,
Inner Mongolia,Mainland China,1/22/2020 12:00,44.09448,113.9456,,,0,,
Jiangsu,Mainland China,1/22/2020 12:00,32.97027,119.464,1,,1,,
Jiangxi,Mainland China,1/22/2020 12:00,27.61401,115.7221,2,,2,,
Jilin,Mainland China,1/22/2020 12:00,43.66657,126.1917,,1,1,,
Liaoning,Mainland China,1/22/2020 12:00,41.29284,122.6086,2,,2,,
Macau,Macau,1/22/2020 12:00,22.1987,113.5439,1,,1,,
Ningxia,Mainland China,1/22/2020 12:00,37.26923,106.1655,1,,1,,
Qinghai,Mainland China,1/22/2020 12:00,35.65945,96.02564,,,0,,
Shaanxi,Mainland China,1/22/2020 12:00,35.19165,108.8701,,,0,,
Shandong,Mainland China,1/22/2020 12:00,36.34377,118.1529,2,,2,,
Shanghai,Mainland China,1/22/2020 12:00,31.20327,121.4554,9,10,19,,
Shanxi,Mainland China,1/22/2020 12:00,37.57769,112.2922,1,,1,,
Sichuan,Mainland China,1/22/2020 12:00,30.61714,102.7103,5,2,7,,
Taiwan,Taiwan,1/22/2020 12:00,25.033,121.5654,1,,1,,
Tianjin,Mainland China,1/22/2020 12:00,39.29362,117.333,4,,4,,
Tibet,Mainland China,1/22/2020 12:00,31.69269,88.0925,,,0,,
Washington,US,1/22/2020 12:00,47.6062,-122.3321,1,,1,,
Xinjiang,Mainland China,1/22/2020 12:00,41.11981,85.17822,,,0,,
Yunnan,Mainland China,1/22/2020 12:00,24.97411,101.4868,1,,1,,
Zhejiang,Mainland China,1/22/2020 12:00,29.18251,120.0985,10,,10,,
,Japan,1/22/2020 12:00,35.6762,139.6503,2,,2,,
,Thailand,1/22/2020 12:00,13.7563,100.5018,2,,2,,
,South Korea,1/22/2020 12:00,37.5665,126.978,1,,1,,
