Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/24/2020  12am,549,24,31,,549
Guangdong,Mainland China,1/24/2020  12am,53,,2,,53
Zhejiang,Mainland China,1/24/2020  12am,43,,1,,43
Beijing,Mainland China,1/24/2020  12am,26,,,22,48
Shanghai,Mainland China,1/24/2020  12am,20,,,,20
Hunan,Mainland China,1/24/2020  12am,24,,,,24
Anhui,Mainland China,1/24/2020  12am,15,,,4,19
Chongqing,Mainland China,1/24/2020  12am,27,,,13,40
Sichuan,Mainland China,1/24/2020  12am,15,,,4,19
Shandong,Mainland China,1/24/2020  12am,9,,,,9
Guangxi,Mainland China,1/24/2020  12am,13,,,,13
Fujian,Mainland China,1/24/2020  12am,5,,,2,7
Jiangsu,Mainland China,1/24/2020  12am,9,,,,9
Henan,Mainland China,1/24/2020  12am,9,,,,9
Hainan,Mainland China,1/24/2020  12am,8,,,32,40
Tianjin,Mainland China,1/24/2020  12am,5,,,,5
Jiangxi,Mainland China,1/24/2020  12am,7,,,,7
Shaanxi,Mainland China,1/24/2020  12am,3,,,,3
Guizhou,Mainland China,1/24/2020  12am,3,,,,3
Liaoning,Mainland China,1/24/2020  12am,4,,,,4
Hong Kong,Hong Kong,1/24/2020  12am,2,,,36,38
Heilongjiang,Mainland China,1/24/2020  12am,4,1,,,4
Macau,Macau,1/24/2020  12am,2,,,,2
Xinjiang,Mainland China,1/24/2020  12am,2,,,,2
Gansu,Mainland China,1/24/2020  12am,2,,,,2
Yunnan,Mainland China,1/24/2020  12am,2,,,,2
Taiwan,Taiwan,1/24/2020  12am,1,,,,1
Shanxi,Mainland China,1/24/2020  12am,1,,,,1
Jilin,Mainland China,1/24/2020  12am,3,,,,3
Hebei,Mainland China,1/24/2020  12am,2,1,,,2
Ningxia,Mainland China,1/24/2020  12am,1,,,,1
Inner Mongolia,Mainland China,1/24/2020  12am,1,,,2,3
Washington,US,1/24/2020  12am,1,,,,1
,Japan,1/24/2020  12am,2,,,,2
,Thailand,1/24/2020  12am,4,,,,4
,South Korea,1/24/2020  12am,1,,,,1
,Singapore ,1/24/2020  12am,1,,,,1
,Vietnam,1/24/2020  12am,2,,,,2
