Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/25/2020  12pm,30.97564,112.2707,761,40,32,,761
Guangdong,Mainland China,1/25/2020  12pm,23.33841,113.422,78,,2,,78
Zhejiang,Mainland China,1/25/2020  12pm,29.18251,120.0985,62,,1,,62
Chongqing,Mainland China,1/25/2020  12pm,30.05718,107.874,57,,,,57
Hunan,Mainland China,1/25/2020  12pm,27.61041,111.7088,43,,,,43
Beijing,Mainland China,1/25/2020  12pm,40.18238,116.4142,41,,2,,41
Anhui,Mainland China,1/25/2020  12pm,31.82571,117.2264,39,,,4,43
Shanghai,Mainland China,1/25/2020  12pm,31.20327,121.4554,33,,1,72,105
Henan,Mainland China,1/25/2020  12pm,33.88202,113.614,32,,,1,33
Sichuan,Mainland China,1/25/2020  12pm,30.61714,102.7103,28,,,4,32
Shandong,Mainland China,1/25/2020  12pm,36.34377,118.1529,27,,,,27
Guangxi,Mainland China,1/25/2020  12pm,23.82908,108.7881,23,,,,23
Hainan,Mainland China,1/25/2020  12pm,19.19673,109.7455,19,,,,19
Jiangxi,Mainland China,1/25/2020  12pm,27.61401,115.7221,18,,,,18
Fujian,Mainland China,1/25/2020  12pm,26.07783,117.9895,18,,,20,38
Jiangsu,Mainland China,1/25/2020  12pm,32.97027,119.464,18,,1,,18
Liaoning,Mainland China,1/25/2020  12pm,41.29284,122.6086,17,,,,17
Shaanxi,Mainland China,1/25/2020  12pm,35.19165,108.8701,15,,,,15
Yunnan,Mainland China,1/25/2020  12pm,24.97411,101.4868,11,,,58,69
Tianjin,Mainland China,1/25/2020  12pm,39.29362,117.333,10,,,,10
Heilongjiang,Mainland China,1/25/2020  12pm,47.862,127.7622,9,1,,,9
Hebei,Mainland China,1/25/2020  12pm,38.0428,114.5149,8,1,,,8
Inner Mongolia,Mainland China,1/25/2020  12pm,44.09448,113.9456,7,,,,7
Shanxi,Mainland China,1/25/2020  12pm,37.57769,112.2922,6,,,,6
Hong Kong,Hong Kong,1/25/2020  12pm,22.3193,114.1694,5,,,244,249
Guizhou,Mainland China,1/25/2020  12pm,26.81536,106.8748,4,,,,4
Jilin,Mainland China,1/25/2020  12pm,43.66657,126.1917,4,,,,4
Gansu,Mainland China,1/25/2020  12pm,36.0611,103.8343,4,,,,4
Ningxia,Mainland China,1/25/2020  12pm,37.26923,106.1655,3,,,1,4
Taiwan,Taiwan,1/25/2020  12pm,23.6978,120.9605,3,,,,3
Xinjiang,Mainland China,1/25/2020  12pm,41.11981,85.17822,3,,,,3
Macau,Macau,1/25/2020  12pm,22.1987,113.5439,2,,,,2
Qinghai,Mainland China,1/25/2020  12pm,35.65945,96.02564,1,,,,1
Washington,US,1/25/2020  12pm,47.6062,-122.3321,1,,,,1
Illinois,US,1/25/2020  12pm,41.8781,-87.6298,1,,,,1
,Japan,1/25/2020  12pm,35.6762,139.6503,2,,,,2
,Thailand,1/25/2020  12pm,13.7563,100.5018,7,,,,7
,South Korea,1/25/2020  12pm,37.5665,126.978,2,,,,2
,Singapore ,1/25/2020  12pm,1.3521,103.8198,3,,,,3
,Vietnam,1/25/2020  12pm,21.0278,105.8342,2,,,,2
,France,1/25/2020  12pm,46.2276,2.2137,3,,,,3
,Australia,1/25/2020  12pm,-25.2744,133.7751,4,,,,4
,Nepal,1/25/2020  12pm,28.3949,84.124,1,,,,1
,Malaysia ,1/25/2020  12pm,4.2105,101.9758,3,,,,3
