Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
South Carolina,US,2020-07-11 06:34:26,34.22333378,-82.46170658,141,1,0,140,Abbeville,45001,"Abbeville, South Carolina, US",574.876666530762,,,84045001,USA
Louisiana,US,2020-07-11 06:34:26,30.2950649,-92.41419698,1232,44,0,1188,Acadia,22001,"Acadia, Louisiana, US",1985.6555725682967,,,84022001,USA
Virginia,US,2020-07-11 06:34:26,37.76707161,-75.63234615,1042,14,0,1028,Accomack,51001,"Accomack, Virginia, US",3224.4089615051366,,,84051001,USA
Idaho,US,2020-07-11 06:34:26,43.4526575,-116.24155159999998,3790,25,0,3765,Ada,16001,"Ada, Idaho, US",786.9813761584096,,,84016001,USA
Iowa,US,2020-07-11 06:34:26,41.33075609,-94.47105874,17,0,0,17,Adair,19001,"Adair, Iowa, US",237.69574944071587,,,84019001,USA
Kentucky,US,2020-07-11 06:34:26,37.10459774,-85.28129668,136,19,0,117,Adair,21001,"Adair, Kentucky, US",708.2595562962192,,,84021001,USA
Missouri,US,2020-07-11 06:34:26,40.19058551,-92.60078167,100,0,0,100,Adair,29001,"Adair, Missouri, US",394.5862762893106,,,84029001,USA
Oklahoma,US,2020-07-11 06:34:26,35.88494195,-94.65859267,136,4,0,132,Adair,40001,"Adair, Oklahoma, US",612.7782283500045,,,84040001,USA
Colorado,US,2020-07-11 06:34:26,39.87432092,-104.3362578,4669,157,0,4512,Adams,8001,"Adams, Colorado, US",902.3599737931007,,,84008001,USA
Idaho,US,2020-07-11 06:34:26,44.89333571,-116.4545247,12,0,0,12,Adams,16003,"Adams, Idaho, US",279.4597112249651,,,84016003,USA
Illinois,US,2020-07-11 06:34:26,39.98815591,-91.18786813,151,1,0,150,Adams,17001,"Adams, Illinois, US",230.76335294567127,,,84017001,USA
Indiana,US,2020-07-11 06:34:26,40.7457653,-84.93671406,49,1,0,48,Adams,18001,"Adams, Indiana, US",136.95949911954608,,,84018001,USA
Iowa,US,2020-07-11 06:34:26,41.02903567,-94.69932645,8,0,0,8,Adams,19003,"Adams, Iowa, US",222.0988339811216,,,84019003,USA
Mississippi,US,2020-07-11 06:34:26,31.47669768,-91.35326037,347,19,0,328,Adams,28001,"Adams, Mississippi, US",1130.5509399537355,,,84028001,USA
Nebraska,US,2020-07-11 06:34:26,40.52449420000001,-98.50117804,309,11,0,298,Adams,31001,"Adams, Nebraska, US",985.2373816280333,,,84031001,USA
Ohio,US,2020-07-11 06:34:26,38.84541072,-83.4718964,25,1,0,24,Adams,39001,"Adams, Ohio, US",90.25922449274314,,,84039001,USA
Pennsylvania,US,2020-07-11 06:34:26,39.87140411,-77.21610347,377,14,0,363,Adams,42001,"Adams, Pennsylvania, US",365.9874379908552,,,84042001,USA
Washington,US,2020-07-11 06:34:26,46.98299757,-118.5601734,222,0,0,222,Adams,53001,"Adams, Washington, US",1110.9443026572587,,,84053001,USA
Wisconsin,US,2020-07-11 06:34:26,43.96974651,-89.76782777,37,2,0,35,Adams,55001,"Adams, Wisconsin, US",182.98714144411477,,,84055001,USA
Vermont,US,2020-07-11 06:34:26,44.03217337,-73.14130877,68,2,0,66,Addison,50001,"Addison, Vermont, US",184.8981700519346,,,84050001,USA
South Carolina,US,2020-07-11 06:34:26,33.54338026,-81.63645384,599,11,0,588,Aiken,45003,"Aiken, South Carolina, US",350.55480125474037,,,84045003,USA
Minnesota,US,2020-07-11 06:34:26,46.60962049,-93.4116826,15,0,0,15,Aitkin,27001,"Aitkin, Minnesota, US",94.42276218053631,,,84027001,USA
Florida,US,2020-07-11 06:34:26,29.67866525,-82.35928158,1978,12,0,1966,Alachua,12001,"Alachua, Florida, US",735.1984626992711,,,84012001,USA
North Carolina,US,2020-07-11 06:34:26,36.0434701,-79.39976137,1405,37,0,1368,Alamance,37001,"Alamance, North Carolina, US",828.8645440655067,,,84037001,USA
California,US,2020-07-11 06:34:26,37.64629437,-121.8929271,7485,147,0,7338,Alameda,6001,"Alameda, California, US",447.84719226435965,,,84006001,USA
Colorado,US,2020-07-11 06:34:26,37.57250606,-105.7885451,204,6,0,198,Alamosa,8003,"Alamosa, Colorado, US",1256.6993162077251,,,84008003,USA
New York,US,2020-07-11 06:34:26,42.60060306,-73.97723916,2190,121,0,2069,Albany,36001,"Albany, New York, US",716.8435317145979,,,84036001,USA
Wyoming,US,2020-07-11 06:34:26,41.65498705,-105.7235415,45,0,0,45,Albany,56001,"Albany, Wyoming, US",115.74074074074076,,,84056001,USA
Virginia,US,2020-07-11 06:34:26,38.02080697,-78.55481085,520,10,0,510,Albemarle,51003,"Albemarle, Virginia, US",475.6242568370987,,,84051003,USA
Michigan,US,2020-07-11 06:34:26,44.6846864,-83.59507875,24,1,0,23,Alcona,26001,"Alcona, Michigan, US",230.65833733781838,,,84026001,USA
Mississippi,US,2020-07-11 06:34:26,34.88084463,-88.57996173,94,2,0,92,Alcorn,28003,"Alcorn, Mississippi, US",254.37718182556216,,,84028003,USA
Alaska,US,2020-07-11 06:34:26,52.3233,-174.1596,1,0,0,1,Aleutians West,2016,"Aleutians West, Alaska, US",17.749378771742986,,,84002016,USA
Illinois,US,2020-07-11 06:34:26,37.18049267,-89.32910838,22,0,0,22,Alexander,17003,"Alexander, Illinois, US",381.87814615518135,,,84017003,USA
North Carolina,US,2020-07-11 06:34:26,35.922379600000006,-81.17751948,151,1,0,150,Alexander,37003,"Alexander, North Carolina, US",402.69888257727285,,,84037003,USA
Virginia,US,2020-07-11 06:34:26,38.814003,-77.08183073,2439,57,0,2382,Alexandria,51510,"Alexandria, Virginia, US",1529.844192989939,,,84051510,USA
Oklahoma,US,2020-07-11 06:34:26,36.73090616,-98.32408495,1,0,0,1,Alfalfa,40003,"Alfalfa, Oklahoma, US",17.5377060680463,,,84040003,USA
Michigan,US,2020-07-11 06:34:26,46.41292944,-86.60260122,4,0,0,4,Alger,26003,"Alger, Michigan, US",43.917435221783045,,,84026003,USA
Iowa,US,2020-07-11 06:34:26,43.28383218,-91.37860922,138,4,0,134,Allamakee,19005,"Allamakee, Iowa, US",1008.2560093519397,,,84019005,USA
Michigan,US,2020-07-11 06:34:26,42.59147037,-85.89102866,362,7,0,355,Allegan,26005,"Allegan, Michigan, US",306.56921943411726,,,84026005,USA
Maryland,US,2020-07-11 06:34:26,39.62357628,-78.69280486,213,18,0,195,Allegany,24001,"Allegany, Maryland, US",302.48807089297884,,,84024001,USA
New York,US,2020-07-11 06:34:26,42.25748406,-78.02750466,64,1,0,63,Allegany,36003,"Allegany, New York, US",138.85574190188973,,,84036003,USA
North Carolina,US,2020-07-11 06:34:26,36.49360862,-81.12857041,41,0,0,41,Alleghany,37005,"Alleghany, North Carolina, US",368.1422286073449,,,84037005,USA
Virginia,US,2020-07-11 06:34:26,37.78636074,-80.00222498,39,2,0,37,Alleghany,51005,"Alleghany, Virginia, US",262.4495289367429,,,84051005,USA
Pennsylvania,US,2020-07-11 06:34:26,40.46809875,-79.98167747,4547,193,0,4354,Allegheny,42003,"Allegheny, Pennsylvania, US",373.91708366055536,,,84042003,USA
Indiana,US,2020-07-11 06:34:26,41.09194313,-85.06800636,2902,133,0,2769,Allen,18003,"Allen, Indiana, US",765.0956105868985,,,84018003,USA
Kansas,US,2020-07-11 06:34:26,37.88582951,-95.30030847,6,0,0,6,Allen,20001,"Allen, Kansas, US",48.50836769342711,,,84020001,USA
Kentucky,US,2020-07-11 06:34:26,36.75197631,-86.19457544,185,7,0,178,Allen,21003,"Allen, Kentucky, US",867.9333802486511,,,84021003,USA
Louisiana,US,2020-07-11 06:34:26,30.65385745,-92.82442028,432,12,0,420,Allen,22003,"Allen, Louisiana, US",1685.7220899832207,,,84022003,USA
Ohio,US,2020-07-11 06:34:26,40.77285242,-84.10802343,348,41,0,307,Allen,39003,"Allen, Ohio, US",340.00644839815925,,,84039003,USA
South Carolina,US,2020-07-11 06:34:26,32.98837386,-81.35321066,75,3,0,72,Allendale,45005,"Allendale, South Carolina, US",863.2596685082872,,,84045005,USA
Michigan,US,2020-07-11 06:34:26,45.03477666,-83.62212411,123,12,0,111,Alpena,26007,"Alpena, Michigan, US",433.0223552191516,,,84026007,USA
California,US,2020-07-11 06:34:26,38.59678594,-119.8223594,2,0,0,2,Alpine,6003,"Alpine, California, US",177.14791851195747,,,84006003,USA
California,US,2020-07-11 06:34:26,38.44583082,-120.65696,36,0,0,36,Amador,6005,"Amador, California, US",90.5614811833367,,,84006005,USA
Virginia,US,2020-07-11 06:34:26,37.34081025,-77.98584649,49,1,0,48,Amelia,51007,"Amelia, Virginia, US",372.76531000380373,,,84051007,USA
Virginia,US,2020-07-11 06:34:26,37.60308293,-79.14548696,38,0,0,38,Amherst,51009,"Amherst, Virginia, US",120.234140167695,,,84051009,USA
Mississippi,US,2020-07-11 06:34:26,31.17467303,-90.80501621,108,3,0,105,Amite,28005,"Amite, Mississippi, US",878.262990973408,,,84028005,USA
Alaska,US,2020-07-11 06:34:26,61.14998174,-149.14269860000005,641,8,0,633,Anchorage,2020,"Anchorage, Alaska, US",222.56944444444446,,,84002020,USA
Kansas,US,2020-07-11 06:34:26,38.21413251,-95.29272815,8,0,0,8,Anderson,20003,"Anderson, Kansas, US",101.80707559175363,,,84020003,USA
Kentucky,US,2020-07-11 06:34:26,38.00671029,-84.99171713,30,1,0,29,Anderson,21005,"Anderson, Kentucky, US",131.88552336571857,,,84021005,USA
South Carolina,US,2020-07-11 06:34:26,34.51828081,-82.63959517,943,19,0,924,Anderson,45007,"Anderson, South Carolina, US",465.5456708695781,,,84045007,USA
Tennessee,US,2020-07-11 06:34:26,36.12684348,-84.19965764,189,2,0,187,Anderson,47001,"Anderson, Tennessee, US",245.5246953675076,,,84047001,USA
Texas,US,2020-07-11 06:34:26,31.81534745,-95.65354823,1761,3,0,1758,Anderson,48001,"Anderson, Texas, US",3050.142894258249,,,84048001,USA
Missouri,US,2020-07-11 06:34:26,39.98492163,-94.80163024,55,1,0,54,Andrew,29003,"Andrew, Missouri, US",310.5239385727191,,,84029003,USA
