Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Australian Capital Territory,Australia,2021-04-15 06:30:33,-35.4735,149.0124,123,3,120,0.0,,28.731604765241766,,,2.4390243902439024,3601,AUS,,
New South Wales,Australia,2021-04-15 06:30:33,-33.8688,151.2093,5356,54,,5302.0,,65.97684158659769,,,1.0082150858849888,3602,AUS,,
Northern Territory,Australia,2021-04-15 06:30:33,-12.4634,130.8456,113,0,107,6.0,,46.009771986970684,,,0.0,3603,AUS,,
Queensland,Australia,2021-04-15 06:30:33,-27.4698,153.0251,1509,7,1397,105.0,,29.498582738735216,,,0.4638833664678595,3604,AUS,,
South Australia,Australia,2021-04-15 06:30:33,-34.9285,138.6007,677,4,661,12.0,,38.5425562197552,,,0.5908419497784343,3605,AUS,,
Tasmania,Australia,2021-04-15 06:30:33,-42.8821,147.3272,234,13,221,0.0,,43.69747899159664,,,5.555555555555555,3606,AUS,,
Victoria,Australia,2021-04-15 06:30:33,-37.8136,144.9631,20492,820,19664,8.0,,309.084601577701,,,4.001561585008784,3607,AUS,,
Western Australia,Australia,2021-04-15 06:30:33,-31.9505,115.8605,965,9,938,18.0,,36.68364631642971,,,0.9326424870466321,3608,AUS,,
Antwerp,Belgium,2021-04-15 06:30:33,51.2195,4.4024,118806,0,,118806.0,,6394.343122068734,,,0.0,5601,BEL,,
Brussels,Belgium,2021-04-15 06:30:33,50.8503,4.3517,115901,0,,115901.0,,9590.15077672104,,,0.0,5602,BEL,,
East Flanders,Belgium,2021-04-15 06:30:33,51.0362,3.7373,107087,0,,107087.0,,7068.150256358807,,,0.0,5603,BEL,,
Flemish Brabant,Belgium,2021-04-15 06:30:33,50.9167,4.5833,71659,0,,71659.0,,6252.012127292953,,,0.0,5604,BEL,,
Hainaut,Belgium,2021-04-15 06:30:33,50.5257,4.0621,138602,0,,138602.0,,10310.799923525617,,,0.0,5605,BEL,,
Liege,Belgium,2021-04-15 06:30:33,50.4496,5.8492,116482,0,,116482.0,,10522.388599014266,,,0.0,5606,BEL,,
