,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered
0,Afghanistan,1/22/2020,0,0,,,0,
1,Afghanistan,1/23/2020,0,0,,,0,
2,Afghanistan,1/24/2020,0,0,,,0,
3,Afghanistan,1/25/2020,0,0,,,0,
4,Afghanistan,1/26/2020,0,0,,,0,
5,Afghanistan,1/27/2020,0,0,,,0,
6,Afghanistan,1/28/2020,0,0,,,0,
7,Afghanistan,1/29/2020,0,0,,,0,
8,Afghanistan,1/30/2020,0,0,,,0,
9,Afghanistan,1/31/2020,0,0,,,0,
10,Afghanistan,2/1/2020,0,0,,,0,
11,Afghanistan,2/2/2020,0,0,,,0,
12,Afghanistan,2/3/2020,0,0,,,0,
13,Afghanistan,2/4/2020,0,0,,,0,
14,Afghanistan,2/5/2020,0,0,,,0,
15,Afghanistan,2/6/2020,0,0,,,0,
16,Afghanistan,2/7/2020,0,0,,,0,
17,Afghanistan,2/8/2020,0,0,,,0,
18,Afghanistan,2/9/2020,0,0,,,0,
19,Afghanistan,2/10/2020,0,0,,,0,
20,Afghanistan,2/11/2020,0,0,,,0,
21,Afghanistan,2/12/2020,0,0,,,0,
22,Afghanistan,2/13/2020,0,0,,,0,
23,Afghanistan,2/14/2020,0,0,,,0,
24,Afghanistan,2/15/2020,0,0,,,0,
25,Afghanistan,2/16/2020,0,0,,,0,
26,Afghanistan,2/17/2020,0,0,,,0,
27,Afghanistan,2/18/2020,0,0,,,0,
28,Afghanistan,2/19/2020,0,0,,,0,
29,Afghanistan,2/20/2020,0,0,,,0,
30,Afghanistan,2/21/2020,0,0,,,0,
31,Afghanistan,2/22/2020,0,0,,,0,
32,Afghanistan,2/23/2020,0,0,,,0,
33,Afghanistan,2/24/2020,1,0,,,1,
34,Afghanistan,2/25/2020,1,0,,,0,
35,Afghanistan,2/26/2020,1,0,,,0,
36,Afghanistan,2/27/2020,1,0,,,0,
37,Afghanistan,2/28/2020,1,0,,,0,
38,Afghanistan,2/29/2020,1,0,,,0,
39,Afghanistan,3/1/2020,1,0,,,0,
40,Afghanistan,3/2/2020,1,0,,,0,
41,Afghanistan,3/3/2020,1,0,,,0,
42,Afghanistan,3/4/2020,1,0,,,0,
43,Afghanistan,3/5/2020,1,0,,,0,
44,Afghanistan,3/6/2020,1,0,,,0,
45,Afghanistan,3/7/2020,1,0,,,0,
46,Afghanistan,3/8/2020,4,0,,,3,
47,Afghanistan,3/9/2020,4,0,,,0,
48,Afghanistan,3/10/2020,5,0,,,1,
49,Afghanistan,3/11/2020,7,0,,,2,
50,Afghanistan,3/12/2020,7,0,,,0,
51,Afghanistan,3/13/2020,7,0,,,0,
52,Afghanistan,3/14/2020,11,0,,,4,
53,Afghanistan,3/15/2020,16,0,,,5,
54,Afghanistan,3/16/2020,21,0,,,5,
55,Afghanistan,3/17/2020,22,0,,,1,
56,Afghanistan,3/18/2020,22,0,,,0,
57,Afghanistan,3/19/2020,22,0,,,0,
58,Afghanistan,3/20/2020,24,0,,,2,
59,Afghanistan,3/21/2020,24,0,,,0,
60,Afghanistan,3/22/2020,40,1,,,16,
61,Albania,1/22/2020,0,0,,,0,
62,Albania,1/23/2020,0,0,,,0,
