Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Confirmed,3/23/2020,68,Daily Summary,26,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/23/2020,0,Daily Summary,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/24/2020,81,Daily Summary,13,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/24/2020,0,Daily Summary,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/28/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/22/2020,42,Time Series,6,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/15/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/4/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/27/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,3/6/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/22/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/26/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/12/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/29/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
