old_county,old_province_state,old_counrty_region,County,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS
,,Palestine,,,West Bank and Gaza,31.9522,35.2332,,,,,
,,CAR,,,Central African Republic,,,,,,,
,,Channel Islands,,Channel Islands,United Kingdom,,,,,,,
,,Congo,,,Congo (Brazzaville),,,,,,,
,,Curaçao,,Curacao,Netherlands,,,,,,,
,,DRC,,,Congo (Kinshasa),,,,,,,
,,Faeroe Islands,,Faroe Islands,Denmark,,,,,,,
,,French Guiana,,French Guiana,France,,,,,,,
,,French Polynesia,,French Polynesia,France,,,,,,,
,,Gibraltar,,Gibraltar,United Kingdom,,,,,,,
,,Guam,,Guam,US,,,,,,,
,,Hong Kong,,Hong Kong SAR,China,,,,,,,
,,Ivory Coast,,,Cote d'Ivoire,,,,,,,
,,Macao,,Macao SAR,China,,,,,,,
,,Mayotte,,Mayotte,France,,,,,,,
,,Puerto Rico,,Puerto Rico,US,,,,,,,
,,Réunion,,Reunion,France,,,,,,,
,,S. Korea,,,"Korea, South",,,,,,,
,,Saint Martin,,St Martin,France,,,,,,,
,,St. Barth,,Saint Barthelemy,France,,,,,,,
,,Taiwan,,,Taiwan*,,,,,,,
,,U.S. Virgin Islands,,Virgin Islands,US,,,,,,,
,,UAE,,,United Arab Emirates,,,,,,,
,,UK,,,United Kingdom,,,,,,,
,,Martinique,,Martinique,France,,,,,,,
,,Guadeloupe,,Guadeloupe,France,,,,,,,
,,Aruba,,Aruba,Netherlands,,,,,,,
,,Cayman Islands,,Cayman Islands,United Kingdom,,,,,,,
,,Greenland,,Greenland,Denmark,,,,,,,
,,Vatican City,,,Holy See,,,,,,,
,,Montserrat,,Montserrat,United Kingdom,,,,,,,
,,St. Vincent Grenadines,,,Saint Vincent and the Grenadines,,,,,,,
,,Bermuda,,Bermuda,United Kingdom,,,,,,,
,,New Caledonia,,New Caledonia,France,,,,,,,
,,Sint Maarten,,Sint Maarten,Netherlands,,,,,,,
,,Isle of Man,,Isle of Man,United Kingdom,,,,,,,
District of Columbia,"Washington, D.C.",US,District of Columbia,District of Columbia,US,38.90417773,-77.01655992,,,,,11001
Berknap,New Hampshire,US,Belknap,New Hampshire,US,,,,,,,
Kansas City,Missouri,US,Kansas City,Missouri,US,39.0997,-94.5786,,,,,
Sterling,Alaska,US,Kenai Peninsula,Alaska,US,60.24429722,-151.5388884,,,,,
Soldotna,Alaska,US,Kenai Peninsula,Alaska,US,60.24429722,-151.5388884,,,,,
Seward,Alaska,US,Kenai Peninsula,Alaska,US,60.24429722,-151.5388884,,,,,
Hawaii Island,Hawaii,US,Hawaii,Hawaii,US,19.60121157,-155.5210167,,,,,
LeSeur,Minnesota,US,Le Sueur,Minnesota,US,44.37136597,-93.72844721,,,,,
Filmore,Minnesota,US,Fillmore,Minnesota,US,43.67394126,-92.08980382,,,,,
Weber-Morgan,Utah,US,Weber,Utah,US,41.27116049,-111.9145117,,,,,
Portsmouth City,Virginia,US,Norfolk,Virginia,US,36.89934014,-76.26420872,,,,,
Stanley,North Carolina,US,Gaston,North Carolina,US,35.29373559,-81.17477045,,,,,
Unknown,Tennessee,US,Unassigned,Tennessee,US,0,0,,,,,
Out-of-state,Tennessee,US,Out of TN,Tennessee,US,0,0,,,,,
Non-Utah resident,Utah,US,Out of UT,Utah,US,0,0,,,,,
Desoto,Florida,US,DeSoto,Florida,US,27.18677893,-81.80941373,,,,,
Dukes and Nantucket,Massachusetts,US,Dukes and Nantucket,Massachusetts,US,41.40674725,-70.68763497,,,,,
Out of State,Michigan,US,Out of MI,Michigan,US,0,0,,,,,
Southwest Utah,Utah,US,Washington,Utah,US,37.28003525,-113.504698,,,,,
Dona Ana,New Mexico,US,Dona Ana,New Mexico,US,32.35275771,-106.8329387,,,,,35013
,,French Polynesia,,French Polynesia,France,-17.6797,-149.4068,,,,,
,,Mauritania,,,Mauritania,21.0079,-10.9408,,,,,
,,Belize,,,Belize,17.1899,-88.4976,,,,,
,,,,Wuhan Evacuee,US,,,0,,,,
,Yukon,Canada,,Yukon,Canada,64.2823,-135.0000,,,,,
,Northwest Territories,Canada,,Northwest Territories,Canada,64.8255,-124.8457,,,,,
