Province/State,Country/Region,First confirmed date in country,Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,2/7/2020 10:50 PM,2/8/20 10:24,2/8/20 23:04
Anhui,Mainland China,1/3/2020,31.82571,117.2264,,,,,,,,,,,,,,,,,2,2,2,2,3,5,7,14,14,20,23,23,34,34,47,47,59,59
Beijing,Mainland China,1/3/2020,40.18238,116.4142,,,,,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,5,9,9,12,12,23,24,31,31,31,33,34,34,37
Chongqing,Mainland China,1/3/2020,30.05718,107.874,,,,,,,,,,,,,,,,1,,1,1,1,1,3,7,9,9,14,15,15,24,24,31,31,39,39
Fujian,Mainland China,1/3/2020,26.07783,117.9895,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,11,11,14,14,20,20,24,26
Gansu,Mainland China,1/3/2020,36.0611,103.8343,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,6,6,6,9,9,12,12
Guangdong,Mainland China,1/3/2020,23.33841,113.422,,,2,2,2,2,2,2,2,2,3,4,4,4,4,5,5,5,6,10,11,14,15,21,21,32,49,49,69,69,88,97,112,125
Guangxi,Mainland China,1/3/2020,23.82908,108.7881,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,7,7,10,13,14,14,14,17,17,17,18
Guizhou,Mainland China,1/3/2020,26.81536,106.8748,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2,5,9,6,6,6,6,6,7,7
Hainan,Mainland China,1/3/2020,19.19673,109.7455,,,,,,,,,,,,,,,,,1,,,1,1,1,4,4,4,4,5,5,8,8,10,11,14,15
Hebei,Mainland China,1/3/2020,38.0428,114.5149,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,6,7,13,13,22,25,30,30
Heilongjiang,Mainland China,1/3/2020,47.862,127.7622,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,4,7,7,8,8,12,12,13,13
Henan,Mainland China,1/3/2020,33.88202,113.614,,,,,,,,,,,,,,,,1,1,1,2,2,3,3,14,14,20,41,47,54,56,56,86,97,116,131
Hubei,Mainland China,1/3/2020,30.97564,112.2707,25,28,28,31,31,32,32,42,42,44,45,45,47,52,80,80,80,88,90,90,141,168,295,386,396,522,537,651,712,712,867,1115,1218,1440
Hunan,Mainland China,1/3/2020,27.61041,111.7088,,,,,,,,,,,,,,,,,,,,2,2,8,16,22,22,35,53,56,81,81,112,119,156,159
Inner Mongolia,Mainland China,1/3/2020,44.09448,113.9456,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,4,4,4,5,5,5,5
