Date,Confirmed
1/22/20,1
1/23/20,1
1/24/20,1
1/25/20,2
1/26/20,2
1/27/20,2
1/28/20,2
1/29/20,5
1/30/20,6
1/31/20,7
2/1/20,8
2/2/20,8
2/3/20,8
2/4/20,11
2/5/20,11
2/6/20,11
2/7/20,11
2/8/20,11
2/9/20,12
2/10/20,12
2/11/20,13
2/12/20,14
2/13/20,14
2/14/20,14
2/15/20,14
2/16/20,14
2/17/20,15
2/18/20,15
2/19/20,16
2/20/20,17
2/21/20,35
2/22/20,35
2/23/20,35
2/24/20,53
2/25/20,57
2/26/20,59
2/27/20,60
2/28/20,66
2/29/20,71
3/1/20,91
3/2/20,109
3/3/20,130
3/4/20,161
3/5/20,236
3/6/20,336
3/7/20,452
3/8/20,573
3/9/20,751
3/10/20,1041
3/11/20,1286
3/12/20,1711
3/13/20,2243
3/14/20,2975
3/15/20,3685
3/16/20,4744
3/17/20,6477
3/18/20,9419
